block_number,block_hash,parent_hash,timestamp,transaction_hash,from_address,to_address,actual_fee_amount,actual_fee_unit,fee_in_eth,tx_count,time_diff,avg_fee,std_fee,anomaly
776242,0x7fc26c528b559dd848aadbbec81a47c586a0c4ef4cc08dbb8d2ccb6be64cc1f,0x7413dd8f383738006156fda40b78f857fba9b788d2ba9d79a72389a2748670a,2024-10-05 11:56:53,0x1a2496ce8a0fc59ba8cf368bd25bebc3f774f99a899961e174e6920caa77f35,0x101606ade9456ea360390ba87c75780527758705ea62854268577a44bca551c,Unknown,0x22bc0b4c1a6,WEI,2.386939920806e-06,1,0.0,2.386939920806e-06,,False
776230,0x4777769e2938eb992a1635cc7979eaeedb3b8234938c3fd181db5dce415e2ef,0x757a88049da596e7610e7ed59b4614497c25da3369f67fb7e9b88cb62b8a8e6,2024-10-05 11:50:15,0x1bb7b394f4b3ac59302f34b5989b1fd8f2a2ea1404b2519a14fc97c0cc85c5,0x10b47bf3bb058edbb9090fc14eec5fcedc4577ff5e7f7642a4774c643221627,Unknown,0x4944df463a,WEI,3.14688095802e-07,1,0.0,3.14688095802e-07,,False
776268,0x4f974a0e301b4a927802257c40821c73788caa0a8807ec9fe83d27505ba6047,0x30ed738f955e93cbee4233cc9641ee4ffc9d3ecf0eada5d30a2da229f74dece,2024-10-05 12:10:50,0xc9f0ccaf330cb5c6eac6261a4e561a97ccc4f50bb541c361afb79c83e79227,0x110a27946ecd0e330a50794dfc8c47a2c3dc5845c9469a2548d8620e75e0db1,Unknown,0x2a0a43d537b,WEI,2.888973505403e-06,1,0.0,2.888973505403e-06,,False
776214,0x42d3b75a7e457f5694233323ef320bd81a47ac3db2ee02ec9b65e0d85528ce4,0x4a369635ba718df58692bbb631cb64d6257d89f9db35f4d878134cd250be583,2024-10-05 11:41:09,0xaad08f265cf7bed237ba51305adb9d46c2f2eed12c32d0291a988dd0f4a14a,0x116e02c3041e2ba58d3f9257f99ce4be00d5ae2f0bd6a229921ed1cced3be8a,Unknown,0x10ffea142e9af0,FRI,4784980.45339928,3,0.0,32929778.064918417,48753636.80003114,False
776215,0x6a63d0980bfa5380f7695c6c9bc6d9a2f6af5c6aef395ebf2ab41ef714b3815,0x42d3b75a7e457f5694233323ef320bd81a47ac3db2ee02ec9b65e0d85528ce4,2024-10-05 11:41:46,0x55c15834b3d743593de4ea91822c8eed4f3c6476a0f1de2b91a7eae23105928,0x116e02c3041e2ba58d3f9257f99ce4be00d5ae2f0bd6a229921ed1cced3be8a,Unknown,0x10fa39a5eec378,FRI,4778725.131338616,3,37.0,32929778.064918417,48753636.80003114,False
776227,0x541c2068d82fa15ddc578c751f114421644ae1408746c930907ef5a62558097,0x54fe77588e09dd779a0884d17defea8d9a2e32779bb7742ee80b145cda4ef53,2024-10-05 11:48:27,0x3ae53360652fac2ac0d008685d8b819a98a92f3c329a5f687a0a52c191472b7,0x116e02c3041e2ba58d3f9257f99ce4be00d5ae2f0bd6a229921ed1cced3be8a,Unknown,0x13cfe3c8a293850,FRI,89225628.61001736,3,401.0,32929778.064918417,48753636.80003114,True
776267,0x30ed738f955e93cbee4233cc9641ee4ffc9d3ecf0eada5d30a2da229f74dece,0x1a2407e8eaafaa43effaada74b45bc7a9c6cc0e8258b1f0703087c00ea8c588,2024-10-05 12:10:18,0x4146f51ee082548f9258ac3b09ec2951ac40a972310262905e22b4248b021de,0x11b6b8065c31983d5493fff63db96580efca818f09794cfc49f2c7cc6065968,Unknown,0x46f99693a30,WEI,4.877361691184e-06,1,0.0,4.877361691184e-06,,False
776260,0x477c9a1e9de455142457433e0f94d451d8c878b0b4f05356fb122fcd180d03f,0x3e0cb02b4c19ddf98b3b639adc2d981f403b0e58d37ee8bc79373025910bd2c,2024-10-05 12:06:20,0x35a22eae60e7607d8a31a4303aa575847fb5ac86f3f61d03b3097c91ca2346c,0x12c8e3b171432a1f03961f66f4178c5f326a863513c699af600c1e3587996bf,Unknown,0x38965b6fe3b,WEI,3.888651894331e-06,2,0.0,4.5492755236175e-06,9.342628961611046e-07,False
776264,0x689111d70dea31d20aaf8c96c4779a0137f42cdca75e531f3aa3085436242a1,0x43342ed2819160dab67807919123804e2c54665c5915d77a9a049f05648f576,2024-10-05 12:08:35,0x147b38310e89507e382fe2adc14236988ee8bdbc6f9f0341dd204734a8dc4a7,0x12c8e3b171432a1f03961f66f4178c5f326a863513c699af600c1e3587996bf,Unknown,0x4bd06303608,WEI,5.209899152904e-06,2,135.0,4.5492755236175e-06,9.342628961611046e-07,False
776205,0x37333b6d0793b28e107010dcabd17b2863f3b0a6d2c6fda0ce1b7938ef187da,0x59d3bd84dfeee703d5e7ab5286375d72fae4a6eab706f6c20503cd0b937af3e,2024-10-05 11:36:09,0x25b82d8749e208227af9ec1a516f7349ec645be2952cb55159d4393db6cff81,0x12e066d1e41062ab09fbf80c3aef37bf0c5abfad77f9b3cd59d25a2ad296318,Unknown,0x1a5a8d4abee,WEI,1.81101374155e-06,2,0.0,1.8556050407814998e-06,6.306162013702433e-08,False
